Trade no.,hardcoded_1,symbol,Sgmt,srcip Name,hardcoded_2,hardcoded_3,hardcoded_4,user id,Trns typ,b/s,qty,rate,clnt/pro,ucc,settlor,hardcoded_5,hardcoded_6,hardcoded_7,time_1,time_2,order no,hardcoded_8,time_3,NNF
200007042,11,ITC,EQ,ITC LTD,0,8,1,45652,2,1,10,417.15,1, IDLK1 ,90234,N,0,7,6/4/2025 9:07,6/4/2025 9:07,1.1E+15,Nil, 04 JUN 2025 09:02:54,1.11111E+14
200015438,11,JPPOWER,EQ,JAIPRAKASH POWER VEN. LTD,0,8,1,45652,2,2,150,15.45,1, IDLK1 ,90234,N,0,7,6/4/2025 9:07,6/4/2025 9:07,1.1E+15,Nil, 04 JUN 2025 09:02:47,1.11111E+14
20364,11,BELRISE,EQ,BELRISE INDUSTRIES LTD,0,8,1,45652,2,2,130,92.2,1, IDLK1 ,90234,N,0,7,6/4/2025 9:07,6/4/2025 9:07,1E+15,Nil, 04 JUN 2025 09:01:45,1.11111E+14
600025887,11,TATATECH,EQ,TATA TECHNOLOGIES LIMITED,0,8,1,45652,2,1,5,759,1, IDLK1 ,90234,N,0,7,6/4/2025 9:07,6/4/2025 9:07,1.3E+15,Nil, 04 JUN 2025 09:07:06,1.11111E+14
600029266,11,SAGILITY,EQ,SAGILITY INDIA LIMITED,0,8,1,45652,2,1,100,38.5,1, IDLK1 ,90234,N,0,7,6/4/2025 9:07,6/4/2025 9:07,1.3E+15,Nil, 04 JUN 2025 09:02:33,1.11111E+14
200031053,11,ETERNAL,EQ,ETERNAL LIMITED,0,8,1,45987,2,1,455,237.19,1, BBA1 ,90234,N,0,7,6/4/2025 9:15,6/4/2025 9:15,1.1E+15,Nil, 04 JUN 2025 09:15:00,1.10002E+14
200031066,11,ETERNAL,EQ,ETERNAL LIMITED,0,8,1,45987,2,1,325,237.19,1, BBA1 ,90234,N,0,7,6/4/2025 9:15,6/4/2025 9:15,1.1E+15,Nil, 04 JUN 2025 09:15:00,1.10002E+14
200031266,11,ETERNAL,EQ,ETERNAL LIMITED,0,8,1,45987,2,1,1,237.19,1, BBA1 ,90234,N,0,7,6/4/2025 9:15,6/4/2025 9:15,1.1E+15,Nil, 04 JUN 2025 09:15:00,1.10002E+14
23662,11,ABFRL,EQ,ADITYA BIRLA FASHION & RT,0,8,1,45988,2,1,2600,80.63,1, BBA1 ,90234,N,0,7,6/4/2025 9:15,6/4/2025 9:15,1E+15,Nil, 04 JUN 2025 09:15:00,3.8205E+14
200031880,11,IDEA,EQ,VODAFONE IDEA LIMITED,0,8,1,45987,2,2,18545,6.77,1, BBA1 ,90234,N,0,7,6/4/2025 9:15,6/4/2025 9:15,1.1E+15,Nil, 04 JUN 2025 09:15:00,1.10002E+14
